,CTD Bottle Closure Time [UTC],CTD Depth [m],CTD Fluorescence [mg/m^3],Discrete Chlorophyll [ug/L],Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag
1,2018-06-26T20:42:14.000Z,222.098,0.0684,-9999999.0,-9999999,-9999999
2,2018-06-26T20:44:38.000Z,202.454,0.0682,-9999999.0,-9999999,-9999999
3,2018-06-26T20:47:15.000Z,181.966,0.067,0.025,*0000000000000100,*0000000000000100
4,2018-06-26T20:47:35.000Z,182.197,0.0678,-9999999.0,-9999999,-9999999
5,2018-06-26T20:48:45.000Z,162.401,0.0677,0.087,*0000000000000100,*0000000000000100
6,2018-06-26T20:49:05.000Z,162.053,0.0682,-9999999.0,-9999999,-9999999
7,2018-06-26T20:50:40.000Z,141.856,0.0673,-9999999.0,-9999999,-9999999
8,2018-06-26T20:50:53.000Z,142.452,0.067,-9999999.0,-9999999,-9999999
9,2018-06-26T20:52:58.000Z,121.544,0.0697,-9999999.0,-9999999,-9999999
10,2018-06-26T20:54:44.000Z,102.72,0.0828,-9999999.0,-9999999,-9999999
11,2018-06-26T20:56:26.000Z,82.232,0.201,0.03,*0000000000000100,*0000000000000100
12,2018-06-26T20:58:05.000Z,62.311,0.656,0.208,*0000000000000100,*0000000000000100
13,2018-06-26T20:59:57.000Z,42.482,1.96,0.483,*0000000000000100,*0000000000000100
14,2018-06-26T21:00:08.000Z,42.396,1.89,-9999999.0,-9999999,-9999999
15,2018-06-26T21:01:28.000Z,22.99,0.351,0.167,*0000000000000100,*0000000000000100
16,2018-06-26T21:02:36.000Z,12.959,0.222,0.103,*0000000000000100,*0000000000000100
17,2018-06-26T21:02:44.000Z,13.2,0.228,-9999999.0,-9999999,-9999999
